source_manufacturer,canonical_manufacturer,model_name,effective_length_raw,effective_length_source,mounting_distance_raw,mounting_distance_source,workbook_notes,action,reason
SME,SME,Series V-12,308.8,SME website,295.6,SME website,,skipped,duplicate_in_workbook
Sorane,Sorane,ZA12,322,Sorane website,310,Sorane website,Need arc! 1mm off NEED THIS ONE for Sandeep!!!!,skipped,already_in_research_targets
Sorane,Sorane,SA1-2,240,Sorane website,223,Sorane website,SHOULD be at 240-241mm eff len arc,skipped,already_in_research_targets
Sorane,Sorane,TA1L,322,Sorane website,310,Sorane website,Need arc! 1mm off NEED THIS ONE for Sandeep!!!!,skipped,already_in_research_targets
Spiral Groove,Spiral Groove,Centroid,254,calculated,236,Larry Deniston measurement,,skipped,already_in_research_targets
Technics,Technics,SL-1000R,254,Technics website,237.78,calculated,BEWARE: Technics geometry is suspicious. Have user measure P>S distance. Technics website says PS distance is 239. This assumes inner groove of 57mm,skipped,filtered_non_tonearm_row
Technics,Technics,SL-1200G,230,Technics website,211.95,calculated,BEWARE: Technics geometry is suspicious. Have user measure P>S distance. Website says overhang is 15mm. It is actually 18.05mm,skipped,filtered_non_tonearm_row
Technics,Technics,SL-1200GR,230,Technics website,211.95,calculated,BEWARE: Technics geometry is suspicious. Have user measure P>S distance. Website says overhang is 15mm. It is actually 18.05mm 11/9/20 update: Guy from Speakerworld(?) in Buffalo called. Said PS distance was 215mm. I told him to aim for 233.15mm arc,skipped,filtered_non_tonearm_row
Technics,Technics,SL-1210GR,230,Technics website,211.95,calculated,BEWARE: Technics geometry is suspicious. Have user measure P>S distance. Website says overhang is 15mm. It is actually 18.05mm,skipped,filtered_non_tonearm_row
Technics,Technics,SL-1500C,230,Technics website,211.95,calculated,BEWARE: Technics geometry is suspicious. Have user measure P>S distance. Website says overhang is 15mm. It is actually 18.05mm,skipped,filtered_non_tonearm_row
The Wand,Wand,9.5in,240,The Wand website,222,The Wand website,agreed,skipped,already_in_tonearm_models
The Wand,Wand,10.3in,262,The Wand website,246,The Wand website,Need arc! Agreed,skipped,already_in_tonearm_models
The Wand,Wand,12in,308.8,The Wand website,295,The Wand website,agreed,skipped,already_in_tonearm_models
Triplanar,Tri-Planar,Mk. VII,250,Triplanar website,233.5,Triplanar website,Agreed,skipped,already_in_tonearm_models
Triplanar,Tri-Planar,U-12,308.8,Triplanar website,295.6,Triplanar website,Agreed,skipped,already_in_research_targets
TW Acustic,TW Acustic,Raven 10.5,267,TW Acustic website,251.2,TW Acustic website,Agreed,skipped,already_in_tonearm_models
